Date and Time Created,User Name,Tweet for covid
Date and Time Created,User Name,Tweet for covid
2020-05-12 21:02:49,douglaschongys,b'RT As many of us were sidelined by COVID-19 we saw the real heroes jump to action our essential healthcare workers on the front\xe2\x80\xa6'
2020-05-12 21:02:49,matthewmientka,b'RT After Covid-19 made the outside world taboo we soon adapted to interacting with friends and loved ones solely through screens Wi\xe2\x80\xa6'
2020-05-12 21:02:49,Spk2dez,b'RT Media Release Update on the coronavirus As of 1pm on 12 May the Western Cape has 4134 active cases of Covid-19 with a t\xe2\x80\xa6'
2020-05-12 21:02:49,EzequielPachec5,"b'RT BREAKING Dr Fauci just testified that the COVID-19 death toll is likely meaningfully higher than the 80,000 reported.'"
2020-05-12 21:02:48,WayneStockman2,b'RT Senate Republicans are preparing a major package of COVID-related liability reforms to foster economic recovery We are g\xe2\x80\xa6'
2020-05-12 21:02:48,TedGrunewald,b'RT The left/progressives whatever you want to call it is a failed political project Here are a bunch of lefty nonprofits\xe2\x80\xa6'
2020-05-12 21:02:48,joealdred,b'Covid deaths among BAME communities show a \xe2\x80\x98timebomb of health inequality Religion Media Centre https://t.co/CG94fQduQS'
2020-05-12 21:02:48,newsafricanow,"b'COVID-19 Cases in Egypt Pass the 10,000 Mark https://t.co/N4hTlEpaah'"
2020-05-12 21:02:48,BatchelorLaw,b'RT Trump and the Republicans are gonna kill an extra hundred thousand and still wreck the economy This is what happens when\xe2\x80\xa6'
2020-05-12 21:02:48,tracyTsnow,b'RT _Noir Documents marked \xe2\x80\x98not for distribution reveal Georgia is unprepared for COVID-19 surge Raw Story https://t.co/94pkq4F4ZD\xe2\x80\xa6'
2020-05-12 21:02:48,DanFostersEthos,"b""RT I've got a great item on it here https://t.co/oC6EWZMQu6 Trump took China's word and didn't take COVID-19 seriously for 50\xe2\x80\xa6"""
2020-05-12 21:02:48,JessesLaw,b'RT The truth of the matter is that the only person with even a passing association with the Trump administration who has any c\xe2\x80\xa6'
2020-05-12 21:02:48,maryataey,b'RT Short up-to-date summary of the corrupted Iranian regime; 20 arrested without any valid reason and in grave danger of #t\xe2\x80\xa6'
2020-05-12 21:02:48,BaldwinVidal,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:48,tonybanzai,b'RT I did not write this piece though I could have Check out my August 2019 tweets. The puppeteers used the\xe2\x80\xa6'
2020-05-12 21:02:48,nicholas_pineda,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:48,Jason_S_Lewis,b'Im Plaid but my opinion has risen considerably in way he\xe2\x80\x99s delivered Wales handling of Covid Red or https://t.co/e8UyBSQPGS'
2020-05-12 21:02:48,Sundncefn,b'RT _fox9 Masks off after presser. All for optics. Guess #Covid_19 just spreads while the cameras on on? #fakenews https://t.co/w\xe2\x80\xa6'
2020-05-12 21:02:48,Afiolabiyenyen,"b""RT _Kant He's giving to the government just like the donations of the Covid-19."""
